"","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","sum.dee","fee","cvr","olai","vai"
"27",10,4,0,0,0,265,1,0,1,0,0,0,0,0,0
"28",10,5,0,0,0,265,1,0,1,0,0,0,0,0,0
"29",10,6,0,0,0,265,1,0,1,0,0,0,0,0,0
"30",10,7,0,0,0,265,1,0,1,0,0,0,0,0,0
"31",10,8,0,0,0,265,1,0,1,0,0,0,0,0,0
"32",10,9,0,0,0,265,1,0,1,0,0,0,0,0,0
"19",10,10,0,0,0,265,1,0,1,0,0,0,0,0,0
"20",10,11,0,0,0,265,1,0,1,0,0,0,0,0,0
"21",10,12,0,0,0,265,1,0,1,0,0,0,0,0,0
"22",10,13,0,0,0,265,1,0,1,0,0,0,0,0,0
"23",10,14,0,0,0,265,1,0,1,0,0,0,0,0,0
"24",10,15,0,0,0,265,1,0,1,0,0,0,0,0,0
"33",11,0,0,230,0,230,1,0,1,0,0,0,0,0,0
"34",11,1,0,0,0,230,1,0,1,0,0,0,0,0,0
"41",11,2,0,0,0,230,1,0,1,0,0,0,0,0,0
"42",11,3,0,0,0,230,1,0,1,0,0,0,0,0,0
"43",11,4,0,0,0,230,1,0,1,0,0,0,0,0,0
"44",11,5,0,0,0,230,1,0,1,0,0,0,0,0,0
"45",11,6,0,0,0,230,1,0,1,0,0,0,0,0,0
"46",11,7,0,0,0,230,1,0,1,0,0,0,0,0,0
"47",11,8,0,0,0,230,1,0,1,0,0,0,0,0,0
"48",11,9,0,0,0,230,1,0,1,0,0,0,0,0,0
"35",11,10,0,0,0,230,1,0,1,0,0,0,0,0,0
"36",11,11,0,0,0,230,1,0,1,0,0,0,0,0,0
"37",11,12,0,0,0,230,1,0,1,0,0,0,0,0,0
"38",11,13,0,0,0,230,1,0,1,0,0,0,0,0,0
"39",11,14,0,0,0,230,1,0,1,0,0,0,0,0,0
"40",11,15,0,0,0,230,1,0,1,0,0,0,0,0,0
"49",12,0,0,230,0,230,1,0,1,0,0,0,0,0,0
"50",12,1,0,0,0,230,1,0,1,0,0,0,0,0,0
"57",12,2,0,0,0,230,1,0,1,0,0,0,0,0,0
"58",12,3,0,0,0,230,1,0,1,0,0,0,0,0,0
"59",12,4,0,0,0,230,1,0,1,0,0,0,0,0,0
"60",12,5,0,0,0,230,1,0,1,0,0,0,0,0,0
"61",12,6,0,0,0,230,1,0,1,0,0,0,0,0,0
"62",12,7,0,0,0,230,1,0,1,0,0,0,0,0,0
"63",12,8,0,0,0,230,1,0,1,0,0,0,0,0,0
"64",12,9,0,0,0,230,1,0,1,0,0,0,0,0,0
"51",12,10,0,0,0,230,1,0,1,0,0,0,0,0,0
"52",12,11,0,0,0,230,1,0,1,0,0,0,0,0,0
"53",12,12,0,0,0,230,1,0,1,0,0,0,0,0,0
"54",12,13,0,0,0,230,1,0,1,0,0,0,0,0,0
"55",12,14,0,0,0,230,1,0,1,0,0,0,0,0,0
"56",12,15,0,0,0,230,1,0,1,0,0,0,0,0,0
"65",13,0,0,230,0,230,1,0,1,0,0,0,0,0,0
"66",13,1,0,0,0,230,1,0,1,0,0,0,0,0,0
"73",13,2,0,0,0,230,1,0,1,0,0,0,0,0,0
"74",13,3,0,0,0,230,1,0,1,0,0,0,0,0,0
"75",13,4,0,0,0,230,1,0,1,0,0,0,0,0,0
"76",13,5,0,0,0,230,1,0,1,0,0,0,0,0,0
"77",13,6,0,0,0,230,1,0,1,0,0,0,0,0,0
"78",13,7,0,0,0,230,1,0,1,0,0,0,0,0,0
"79",13,8,0,0,0,230,1,0,1,0,0,0,0,0,0
"80",13,9,0,0,0,230,1,0,1,0,0,0,0,0,0
"67",13,10,0,0,0,230,1,0,1,0,0,0,0,0,0
"68",13,11,0,0,0,230,1,0,1,0,0,0,0,0,0
"69",13,12,0,0,0,230,1,0,1,0,0,0,0,0,0
"70",13,13,0,0,0,230,1,0,1,0,0,0,0,0,0
"71",13,14,0,0,0,230,1,0,1,0,0,0,0,0,0
"72",13,15,0,0,0,230,1,0,1,0,0,0,0,0,0
"81",14,0,0,230,0,230,1,0,1,0,0,0,0,0,0
"82",14,1,0,0,0,230,1,0,1,0,0,0,0,0,0
"89",14,2,0,0,0,230,1,0,1,0,0,0,0,0,0
"90",14,3,0,0,0,230,1,0,1,0,0,0,0,0,0
"91",14,4,0,0,0,230,1,0,1,0,0,0,0,0,0
"92",14,5,0,0,0,230,1,0,1,0,0,0,0,0,0
"93",14,6,0,0,0,230,1,0,1,0,0,0,0,0,0
"94",14,7,0,0,0,230,1,0,1,0,0,0,0,0,0
